	가게	주소	테마
750	다미진	제주특별자치도 서귀포시 표선면 민속해안로 578-1	"#해산물 #회 #횟집
#모둠회 #자연산 #음식 #다금바리"
751	다미회	제주특별자치도 제주시 동광로2길 9-4	"#삼치회 #한식 #향토음식
#횟집 #음식 #회 #광어회 #소라 #도미지리 #초밥"
752	다올김밥분식	제주특별자치도 제주시 남녕로 48	"#노형동 #모닥치기 #떡볶이
#음식 #식당"
753	다이노바이트 샌드위치	제주특별자치도 제주시 관덕로 16	"#샌드위치 #빵 #카페
#음식 #아메리카노 #커피 #브런치"
754	다정이네	제주특별자치도 서귀포시 동문로 59-1	"#김밥 #꼬마김밥 #서귀포
#올레시장 #아침식사 #음식 #식당"
755	다해복국	제주특별자치도 제주시 문송1길 17 (연동)	"#복어회 #복해장국 #복국요리
#한식 #횟집 #음식 #회 #옥돔 #도미지리 #복지리탕"
756	달래식당	제주특별자치도 서귀포시 성산읍 금백조로 34-19	"#두루치기 #전복뚝배기 #딱새우장
#음식 #물회 #갈치구이 #제주갈치구이 #생선구이정식"
757	달리다방	제주특별자치도 제주시 구좌읍 해맞이해안로 2326	"#카페 #차 #음료
#음식 #아메리카노 #카페라떼 #카푸치노 #카페모카"
758	달리맨	제주특별자치도 서귀포시 성산읍 환해장성로 950	"#카페 #귤 #귤타르트
#티라미수 #음식"
759	달리북카페	제주시 한림읍 월계로 18 1층	"#북카페 #카페 #음료
#커피 #스무디 #음식 #아메리카노 #카푸치노 #에스프레소 #바닐라라떼 #카페라떼 #녹차라떼 #돌체라떼 #딸기라떼 #콜드브루 #주스 #과일주스"
760	달빛머금은카페	제주특별자치도 제주시 중앙로3길 17	"#카페 #슈크림볼 #탑동라떼
#링고라떼 #음식"
761	달에	제주특별자치도 제주시 애월읍 고내로9길 44-2	#펍 #해산물 #음식
762	달인수산	제주특별자치도 서귀포시 중정로73번길 22	"#서귀포 #올레시장 #활어회
#매운탕 #음식 #식당 #회"
763	달페이지	제주특별자치도 서귀포시 색달로64번길 51	"#사계절 #휴식/치유 #카페
#음식 #브런치 #바게트 #리코타치즈샐러드 #샐러드 #샌드위치 #식당"
764	담다	제주특별자치도 제주시 한림읍 협재4길 8	"#협재해수욕장 #매생이 #보말
#음식 #식당"
765	당케올레국수	제주특별자치도 서귀포시 표선면 표선당포로 4	"#표선 #표선해수욕장 #보말칼국수
#국수 #음식 #식당 #보말 #고기국수 #보말죽"
766	대관원	제주특별자치도 제주시 신대로13길 3	"#중식 #짜장면 #짬뽕
#음식 #탕수육 #해물짜장 #해물탕 #고기짬뽕 #해물짬뽕 #간짜장 #잡채밥 #볶음밥 #새우볶음밥"
767	대굴대굴구이	제주시 성신로2길 19	"#굴구이 #굴 #굴볶음밥
#하얀굴짬뽕 #음식 #굴전"
768	대기정	제주특별자치도 서귀포시 이어도로 41	"#은갈치 #갈치조림 #갈치구이
#성게미역국 #음식 #제주갈치구이 #제주갈치조림 #생선구이정식 #생선조림 #성게비빔밥 #전복돌솥밥"
769	대독장	제주특별자치도 제주시 연북로 212	"#신제주 #흑돼지요리 #김치찌개
#음식 #식당"
770	대운정	제주특별자치도 제주시 도두항서길 41	"#휴식/힐링 #음식 #대게찜
#대게정식 #해물찜 #샤브샤브 #식당"
771	대춘해장국	제주특별자치도 제주시 연북로 398	"#해장국 #내장탕 #연북로
#음식 #식당"
772	대춘해장국 노형점	제주특별자치도 제주시 원노형로 11	"#해장국 #내장탕 #국밥
#아침식사 #음식 #식당"
773	대춘해장국 시청점	제주특별자치도 제주시 동광로2길 9-1	"#해장국 #내장탕 #제주시청
#음식 #식당"
774	대포횟집	제주특별자치도 서귀포시 대포로 169 (대포동)	"#다금바리 #돌돔 #활어회
#한식 #횟집 #음식 #회 #갈치조림 #방어회 #고등어회 #방어"
775	대향연탄구이	제주특별자치도 서귀포시 태평로 407	"#흑돼지 #목살 #오겹살
#소라구이 #음식 #돼지구이 #삼겹살 #된장찌개"
776	더 코브	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38 제주신화월드 메리어트 리조트관 GF	"#디저트 #카페 #음식
#아메리카노 #샌드위치 #주스 #스무디"
777	더 콘테나	제주특별자치도 제주시 조천읍 함와로 513	"#커피 #감귤카페 #감귤농장
#감귤체험 #음식 #식당"
778	더건강한빵	제주특별자치도 서귀포시 천제연로 185	"#천제연 #중문 #빵지순례
#마늘바게트 #깜빠뉴 #샌드위치 #음식 #카페 #빵 #베이커리 #에스프레소 #아메리카노 #카페라떼 #카푸치노"
779	더로맨틱	제주특별자치도 제주시 조천읍 교래1길 26	"#카페 #커피 #커플스냅명소
#웨딩촬영 #웨딩스냅촬영 #음식 #아메리카노 #카페라떼 #녹차라떼 #캐모마일 #얼그레이 #빵 #디저트 #에이드"
780	더비치하우스	제주특별자치도 서귀포시 성산읍 신양로122번길 17	"#칵테일 #음식 #양식
#파스타 #크림파스타 #라자냐 #오션뷰 #와인 #라운지바 #위스키 #포토스팟 #식당"
781	더클리프	제주특별자치도 서귀포시 중문관광로 154-17	"#라운지 #호프 #펍
#버거 #피자 #커피 #중문관광단지맛집 #음식"
782	덕승식당	제주특별자치도 서귀포시 대정읍 최남단해안로30번길 4	"#우럭매운탕 #갈치조림 #갈치구이
#고등어구이 #한식 #음식 #갈치 #갈치회 #제주갈치조림 #제주갈치구이 #고등어 #고등어회 #고등어조림 #매운탕 #횔어우럭매운탕 #물회 #한치물회 #한치"
783	덕인당보리빵 제주점	제주특별자치도 제주시 연삼로 180	"#보리빵 #팥보리빵 #쑥빵
#음식 #카페 #빵 #베이커리"
784	델리	제주특별자치도 제주시 노연로 12	"#부모 #커플 #친구
#아이 #휴식/힐링 #음식 #치즈케이크 #수제초콜릿 #식당 #케이크"
785	델문도로스터스	제주특별자치도 제주시 연삼로 316	"#구제주 #델문도 #드립커피
#음식 #카페"
786	도가촌	제주특별자치도 서귀포시 동홍동로 39	"#흑돼지 #돼지고기 #흑모둠
#흑목살 #볶음밥 #음식 #흑돼지구이 #목살 #전복뚝배기 #돼지김치찌개 #김치찌개"
787	도남오거리 도남점	제주특별자치도 제주시 도남로6길 16	"#도남 #제주시청 #고깃집
#소고기 #돼지고기 #육사시미 #천협 #간 #음식 #식당 #육회"
788	도도톳김밥	제주특별자치도 제주시 구좌읍 해맞이해안로 1460	"#세화해수욕장 #분식 #해물라면
#음식 #식당"
789	도렐	제주특별자치도 서귀포시 성산읍 동류암로 20	"#제주도렐커피 #너티클라우드 #플레이스캠프제주
#음식"
790	도리화과	제주특별자치도 제주시 아연로 194	"#찻집 #화과자 #말차라떼
#디저트 #차 #도화차 #음식"
791	독도참치	제주특별자치도 서귀포시 동문로 62-1	"#참치 #회 #해산물
#초밥 #음식 #스시"
792	돈가	제주특별자치도 제주시 문송길 36	"#흑돼지 #샤브샤브 #한식
#음식 #오겹살 #삼겹살 #항정살 #가브리살 #흑돼지구이 #돼지구이 #김치찌개 #된장찌개 #냉면"
793	돈돼지흑돼지	제주특별자치도 서귀포시 표선면 표선백사로 108	"#흑돼지 #쌈밥정식 #한식
#음식 #오겹살 #삼겹살 #항정살 #가브리살 #흑돼지구이 #돼지구이 #김치찌개 #된장찌개 #냉면"
794	돈사촌	제주특별자치도 제주시 서사로 7	"#구제주 #근고기 #혼밥
#음식 #식당"
795	돈채	제주특별자치도 제주시 우도면 우도로 16	"#흑오겹살 #흑생갈비 #등갈비
#갈비탕 #김치찌개 #음식 #돼지김치찌개 #정식"
796	돈카츠서황	제주특별자치도 제주시 애월읍 장소로 205-2	"#애월 #돈카츠 #생선카츠
#음식 #식당"
797	돈파스타정원	제주특별자치도 제주시 애월읍 애월해안로 364	"#파스타 #애월해안도로 #짬뽕
#음식 #식당"
798	돈풍년	제주특별자치도 제주시 승천로 52	"#한식 #흑돼지 #한우
#육회 #음식 #양념갈비 #갈비 #오겹살 #목살"
799	돌섬	제주특별자치도 서귀포시 성산읍 한도로 109	"#전복삼계탕 #흑돼지 #전복돌솥밥
#전복 #음식 #흑돼지구이 #오겹살 #목살 #삼계탕"
800	돌카롱 사려니숲길점	제주특별자치도 제주시 조천읍 비자림로 422-2	"#유채꽃카롱 #억새카롱 #사려니숲길
#음식 #식당"
801	돌카롱 애월점	제주특별자치도 제주시 애월읍 금성5길 44-9	"#애월 #마카롱 #음식
#카페"
802	돌코롬봉봉	제주특별자치도 서귀포시 표선면 민속해안로 35	"#음식 #젤라또 #수제청
#수제청음료 #요거트 #커피 #아메리카노 #에스프레소 #차"
803	돌코롬허니	제주특별자치도 제주시 구좌읍 김녕로 110	"#꿀차 #벌집아이스크림 #꿀맥주
#카페 #음식 #아이스크림"
804	돌토고리족욕카페	제주특별자치도 서귀포시 표선면 표선당포로 16-4	"#커플 #혼자 #친구
#아이 #부모 #사계절 #족욕카페 #디저트 #카페 #음식 #블루베리스무디 #아메리카노 #자몽에이드 #에스프레소 #카페라떼 #녹차라떼 #밀크티"
805	돔베돈	제주특별자치도 제주시 관덕로15길 25	"#미슐랭 #흑돼지 #흑돼지맛집
#돔베고기맛집 #흑돼지거리 #음식 #식당"
806	동구미	제주특별자치도 제주시 조천읍 중산간동로 929	"#휴식/힐링 #카페 #음식
#수제청음료 #샌드위치 #아보카도샐러드 #샐러드 #치킨샐러드 #식당"
807	동그라미식육식당	제주특별자치도 서귀포시 1100로 217	"#무항생돼지 #정식 #한식
#음식"
808	동글이흑돼지바베큐	제주특별자치도 서귀포시 천지로 2	"#올레시장 #서귀포 #흑돼지바베큐
#음식 #식당"
809	동막골	제주특별자치도 제주시 구산로 43-1	"#동태요리 #막국수 #아라동
#메밀칼국수 #동태전골 #동태조림 #음식 #식당"
810	동백별장	제주특별자치도 제주시 원노형3길 44	"#노형 #요리주점 #동백주
#음식 #식당"
811	동북왕	제주특별자치도 제주시 사장1길 43	"#양꼬치 #중식 #중국인셰프
#음식 #마파두부 #마라탕"
812	동우통닭	제주특별자치도 제주시 도남로 76	"#치킨 #통닭 #닭똥집튀김
#음식"
813	동이트는집	제주특별자치도 제주시 신산로 71	"#구제주 #신산공원 #삼성혈
#음식 #식당"
814	동해루	제주특별자치도 제주시 추자면 추자로 58-1	"#추자음식점 #추자중식당 #추자자장면
#상추자식당 #추자도 #음식 #짜장면 #짬뽕 #탕수육 #잡채밥 #식당 #중식"
815	돼지굽는정원	제주특별자치도 제주시 한림읍 협재2길 8-7	"#흑돼지 #흑돼지집 #목살
#오겹살 #야외바베큐 #음식 #흑돼지구이 #돼지구이 #냉면 #볶음밥 #해물라면 #라면"
816	두가시가든	제주특별자치도 서귀포시 표선면 하천달산로9번길 96	"#흑돼지 #두루치기 #김치찌개
#된장찌개 #한식 #음식"
817	두루김밥	제주특별자치도 제주시 정존5길 36	"#신제주 #노형동 #김밥
#음식 #식당"
818	두루두루	제주특별자치도 제주시 삼무로3길 14	"#조림 #객주리조림 #우럭조림
#한치회 #꼼장어구이 #가오리무침 #쥐치 #음식 #생선조림 #회 #한치"
819	두툼한고기돈돼지	제주특별자치도 제주시 조천읍 함덕19길 3	"#함덕 #함덕해수욕장 #흑돼지
#음식 #식당"
820	디 아일렛 라운지	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38	"#샌드위치 #핑거푸드 #커피
#뷔페 #음식 #아메리카노"
821	딕시	제주특별자치도 서귀포시 일주동로 8592	"#카페 #드립커피 #에티오피아이가체프
#코스타리카따라쥬 #케냐AA #G2 #음식 #핸드드립커피 #아메리카노"
822	딤섬9898	제주특별자치도 제주시 노형8길 17 행복한빌딩 102호	"#딤섬 #대만음식 #샤오롱탕빠오
#완탕면 #꿔바로우 #음식 #마라탕 #만두"
823	땡큐베리	제주특별자치도 서귀포시 칠십리로 97	"#서귀동 #블루베리 #블루베리농장
#강정동 #아이스크림 #음식 #카페"
824	뚜르	제주특별자치도 서귀포시 표선면 가시로613번길 60	"#커피 #카페 #무인카페
#음식"
825	뚱보아저씨	제주특별자치도 제주시 한경면 중산간서로 3651	"#가성비 #갈치구이 #갈치조림
#한식 #로컬맛집 #음식 #식당"
826	뚱순이 꼬마김밥	제주특별자치도 서귀포시 중앙로62번길 18	"#떡볶이 #꼬마김밥 #매운어묵
#튀김 #모닥치기 #분식 #음식 #김밥"
827	뜰향기	제주특별자치도 제주시 조천읍 남조로 2326	"#한식 #비빔밥 #뚝배기
#흑돼지 #정식 #고등어구이 #두부 #음식 #갈치조림 #제주갈치조림 #고등어조림 #갈치구이"
828	라 아바나	제주특별자치도 제주시 도근내길 28	"#쿠바 #음식 #아메리카노
#와인뱅쇼 #샌드위치 #수제맥주"
829	라쁠라주	제주특별자치도 제주시 서해안로 518	"#카페 #수제디저트 #브런치
#케이크 #음식 #햄버거스테이크 #햄버거 #치즈버거 #감자튀김"
830	라스또르따스	"제주특별자치도 제주시 애월읍 애월해안로 274 , 1층"	"#멕시코요리 #타코 #멕시칸샌드위치
#음식"
831	라온베이커리 남녕점	제주특별자치도 제주시 남녕로 11	"#휴식/힐링 #경관/포토 #카페
#음식 #포토스팟 #빵 #식당 #베이커리"
832	라운지 38	제주특별자치도 제주시 노연로 12	"#커플 #친구 #음식
#차 #치즈케이크 #딸기아이스크림빙수 #와인 #식당 #케이크 #아이스크림"
833	라운지엑스 애월점	제주특별자치도 제주시 애월읍 천덕로 880-24 A동 B1	"#로봇드립커피 #로봇카페 #음식
#식당"
834	라토커피	제주특별자치도 제주시 광양10길 20	"#제주시청 #크림브륄레 #카페
#음식 #식당"
835	라포레사려니	제주시 조천읍 비자림로 685-3	"#카페 #커피 #라끌렛
#라자냐 #디저트 #음식"
836	랜딩 라운지	제주 서귀포시 안덕면 신화역사로304번길 38 랜딩관 제주신화월드 호텔앤리조트 G층	"#커피 #아이리쉬커피 #칵테일
#음식 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼 #돌체라떼 #딸기라떼 #디저트 #빵"
837	레이식당	제주특별자치도 제주시 구좌읍 해맞이해안로 1156-5	"#일식 #와인 #톳파스타
#음식 #파스타 #해물파스타 #오일파스타"
838	레이지펌프	제주특별자치도 제주시 애월읍 애월북서길 32	"#애월카페거리 #디저트카페 #오션뷰
#음식 #카페"
839	로맨틱하드보일드	제주특별자치도 제주시 애월읍 금성5길 44	"#카페 #커피 #음료
#음식 #아인슈페너 #아메리카노 #카페모카 #카페라떼 #에이드 #바닐라라떼"
840	로빙화	제주특별자치도 서귀포시 남원읍 남태해안로 13	"#남원 #갤러리카페 #수제버거
#음식 #식당"
841	로스터리카페 담담	제주시 한경면 저지12길 60	"#카페 #커피 #케이크
#샌드위치 #요거트 #음식 #아메리카노 #핸드드립커피 #디저트 #面包 #오미자주스"
842	로스트&헤븐	제주특별자치도 제주시 테우해안로 162	"#이호해수욕장 #유자차 #핸드드립
#음식 #카페"
843	로이앤메이	제주특별자치도 서귀포시 성산읍 온평상하로15번길 12-7	"#중식 #음식 #섭지코지
#마파두부 #탕수가지 #볶음밥 #식당"
844	로치아 커피로스터스	제주특별자치도 제주시 도공로 53	"#커피 #음료 #카페
#음식 #핸드드립커피 #아메리카노 #카페라떼"
845	룡천왕갈비탕	제주특별자치도 제주시 공설로 23	"#구제주 #갈비탕 #종합운동장
#음식 #식당"
846	루스트플레이스 구남점	제주특별자치도 제주시 도남로 199	"#루스트 #펍 #신제주
#음식 #식당"
847	루스트플레이스 베라체점	제주특별자치도 제주시 승천로 73	"#파스타 #피자 #스테이크
#양식 #음식 #샐러드 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
848	루스트플레이스 삼화점	제주특별자치도 제주시 화삼로 21	"#파스타 #피자 #스테이크
#양식 #음식 #샐러드 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
849	루스트플레이스 서귀포점	제주특별자치도 서귀포시 신서로48번길 22	"#파스타 #피자 #스테이크
#양식 #음식 #샐러드 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
850	루스트플레이스 시청점	제주특별자치도 제주시 중앙로 230-1	"#파스타 #피자 #스테이크
#양식 #음식 #샐러드 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
851	루스트플레이스 아라점	제주특별자치도 제주시 아란7길 3-3	"#샐러드 #스테이크 #파스타
#피자 #맥주 #음식 #치킨샐러드 #리코타치즈샐러드 #고르곤졸라화덕피자 #화덕피자 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #볶음밥 #새우볶음밥"
852	루스트플레이스 아이파크점	제주특별자치도 제주시 노형8길 9	"#파스타 #피자 #스테이크
#양식 #음식 #어린이 #테마공원 #샐러드 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
853	루스트플레이스 외도점	제주특별자치도 제주시 우정로 80	"#샐러드 #스테이크 #파스타
#맥주 #피자 #음식 #치킨샐러드 #리코타치즈샐러드 #봉골레파스타 #해물파스타 #크림파스타 #미트볼파스타 #오일파스타 #새우로제파스타 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥"
854	루스트플레이스 제원점	제주특별자치도 제주시 노연로 118-1	"#파스타 #피자 #스테이크
#양식 #음식 #샐러드 #치킨샐러드 #리코타치즈샐러드 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥 #크림파스타 #미트볼파스타 #오일파스타"
855	루스트플레이스 칠성로점	제주특별자치도 제주시 중앙로7길 3	"#샐러드 #파스타 #스테이크
#맥주 #피자 #음식 #치킨샐러드 #리코타치즈샐러드 #고르곤졸라화덕피자 #화덕피자 #볶음밥 #새우볶음밥 #크림파스타 #미트볼파스타 #오일파스타"
856	르에스까르고	제주특별자치도 제주시 월랑로2길 29	"#카페 #빵 #수제잼
#케이크 #음식 #우유식빵 #바게트 #디저트"
857	르토아 베이스먼트	제주특별자치도 제주시 구좌읍 해맞이해안로 1226	"#세화카페 #소금빵 #음식
#카페 #빵 #베이커리"
858	리치망고 도두해안로점	제주특별자치도 제주시 서해안로 191	"#망고쉐이크 #망고주스 #제주망고
#음식 #카페"
859	리치망고 신화월드점	제주특별자치도 서귀포시 안덕면 신화역사로304번길 38	"#망고쉐이크 #망고주스 #제주망고
#음식 #카페"
860	리치망고 협재점	제주특별자치도 제주시 한림읍 한림로 482	"#망고쉐이크 #망고주스 #제주망고
#음식 #카페"
861	리틀비엣	제주특별자치도 제주시 인다7길 16	"#분짜 #쌀국수 #모닝글로리
#음식 #소고기쌀국수 #새우볶음밥 #볶음밥"
862	마농	제주시 우평로 45	"#파스타 #피자 #음료
#음식 #해물스튜 #해물파스타 #새우로제파스타 #돈까스"
863	마농오메기통닭마농문어통닭	제주특별자치도 서귀포시 중정로61번길 20	"#서귀포 #올레시장 #치킨
#통닭 #음식 #식당"
864	마님순대	제주시 정존15길 42	"#순대 #국밥 #한식
#음식 #순대국밥"
865	마돈	제주특별자치도 서귀포시 성산읍 섭지코지로 56	"#흑돼지 #말고기 #한식
#음식 #육회 #말고기사시미 #갈비찜 #오겹살"
866	마라도별장식당	제주특별자치도 서귀포시 대정읍 마라로101번길 43	"#전복톳해물짜장 #해물짬뽕 #전복죽
#중식 #음식"
867	마라도횟집	제주특별자치도 제주시 신광로8길 3	"#연동 #방어 #다금바리
#마라도 #해물라면 #고등어구이 #제첼회 #활어회 #음식 #식당 #회"
868	마라톤식당	제주특별자치도 제주시 서광로 174	"#정식 #두루치기 #매운탕
#찜 #한식 #음식 #된장찌개 #김치찌개 #오겹살"
869	마레벤또	제주특별자치도 제주시 애월읍 애월로1길 10	"#전복파스타 #파스타 #커피
#음식 #크림파스타"
870	마마무말가든	제주특별자치도 제주시 아연로 157	"#말고기 #음식 #제주시
#말고기사시미 #갈비찜 #식당"
871	마마식당	제주특별자치도 제주시 추자면 추자로 36	"#추자야식 #추자도야식 #추자식당
#추자음식점 #추자도 #음식 #갈비찜 #낙지볶음 #국물닭발 #식당"
872	마모루	제주특별자치도 제주시 광양13길 10-1	"#일식당 #제주시청 #돈코츠라멘
#음식 #식당"
873	마실디	제주특별자치도 서귀포시 중정로73번길 16	"#카페 #커피 #주스
#망고 #천혜향 #음식 #과일주스 #아메리카노"
874	마음카페	제주특별자치도 서귀포시 표선면 녹산로 381-15	"#카페 #말똥과자 #당근풀빵
#유기농영귤빙수 #조랑말주스 #음식 #빵 #아메리카노 #에스프레소 #카페라떼 #카라멜마끼아또 #바닐라라떼"
875	마중물삼계탕	제주특별자치도 제주시 서사로 62-3	"#삼계탕 #닭곰탕 #닭볶음탕
#음식 #백숙 #닭똥집튀김 #옻닭"
876	마틸다	제주특별자치도 제주시 애월읍 고내1길 33	"#칵테일 #맥주 #커피
#음식 #진토닉칵테일 #와인 #아메리카노 #에이드"
877	만강촌옛날칼국수	제주특별자치도 제주시 월랑로 42	"#칼국수 #곰탕 #통닭
#만두 #음식 #식당"
878	만덕식당	제주특별자치도 제주시 한경면 노을해안로 1168	"#갈치조림 #고등어조림 #갈치구이
#성게미역국 #전복죽 #음식 #제주갈치조림"
879	만부정	제주특별자치도 제주시 사장길 38	"#횟집 #복어 #일식
#음식 #회 #복어지리 #복어요리 #해산물"
880	만선바다	제주특별자치도 제주시 삼무로1길 6	"#횟집 #고등어회 #해장국
#음식 #고등어 #고등어구이 #고등어조림 #쌈밥 #전복버터구이"
881	만세국수 본점	제주특별자치도 제주시 오라로 152	"#국수 #국밥 #순대
#고기국수 #음식 #식당"
882	만월당	제주특별자치도 제주시 구좌읍 월정1길 56	"#이탈리안 #양식 #월정리해수욕장
#음식 #식당"
883	만조이천쌀밥	제주특별자치도 서귀포시 성산읍 성산중앙로 5	"#돌솥정식 #성산정식 #만조정식
#한식 #음식 #해물뚝배기 #전복뚝배기 #갈치조림 #고등어조림 #청국장 #전복돌솥밥"
884	맛나리	제주특별자치도 서귀포시 동문로 34 (서귀동)	"#순대해장국 #한식 #전골
#탕 #음식 #국밥 #순대국밥"
885	맛있는 여가생활	제주특별자치도 제주시 한림읍 귀덕로 60	"#커플 #친구 #사계절
#청년 #심야식당 #음식 #샌드위치 #브런치 #아메리카노 #바닐라라떼 #카페라떼 #녹차라떼"
886	맛있는집	제주특별자치도 서귀포시 동문로 110 (동홍동)	#보말미역국 #향토음식 #음식
887	망고홀릭 법환점	제주특별자치도 서귀포시 막숙포로 83	"#망고음료 #생망고와플 #코코넛빙수
#망고홀릭디저트 #음식 #망고 #망고빙수 #망고스무디 #망고에이드 #망고주스 #망고요거트"
888	망고홀릭 성산일출봉점	제주특별자치도 서귀포시 성산읍 일출로 282	"#망고음료 #생망고와플 #망고빙수
#음식 #망고 #망고스무디 #망고에이드 #망고주스 #망고요거트 #아메리카노 #카푸치노 #카페라떼 #에스프레소"
889	매기의 추억	제주시 한림읍 한림해안로 595	"#카페 #커피 #케이크
#디저트 #음식 #치즈케이크 #아메리카노 #홍차 #카페라떼"
890	매일통닭	제주특별자치도 서귀포시 중앙로54번길 35	"#마농통닭 #치킨 #서귀포
#올레시장 #닭강정 #음식 #식당"
891	맥파이 브루어리	제주특별자치도 제주시 동회천1길 23	"#친구 #맑음 #휴식/힐링
#여름 #커플 #맥주 #수제맥주 #제주양조장 #피맥집 #맥파이 #음식"
892	맥파이 블루버드	제주특별자치도 제주시 탑동로2길 7	"#탑동 #수제맥주 #펍
#맥파이 #음식 #식당"
893	맨도롱해장국	제주특별자치도 서귀포시 태평로353번길 11	"#겡이국 #해장국 #몸국
#서귀동 #서귀포시 #소머리국밥 #자리물회 #황태콩나물해장국 #음식 #식당"
894	머문카페	제주특별자치도 제주시 구좌읍 해맞이해안로 460	"#카페 #커피 #디저트
#음식 #치즈케이크 #쿠키 #아메리카노 #에이드 #주스 #케이크"
895	먹쿠슬낭여행자카페	제주특별자치도 제주시 오라로 24	"#카페 #애플망고빙수 #애플망고음료
#음식 #애플망고스무디 #파스타 #과일주스 #주스 #샌드위치"
896	메종드베니	제주특별자치도 제주시 동화로 28	"#화북동 #빵지순례 #베이커리
#소보로빵 #크로와상 #소세지빵 #식빵 #크림빵 #파이 #음식 #카페 #빵 #아메리카노 #카페라떼"
897	메종드쁘티푸르	제주특별자치도 제주시 신설로7길 3	"#아라동 #팡도르 #빵지순례
#음식 #카페 #빵 #베이커리"
898	메종드쁘티푸르 노형점	제주특별자치도 제주시 노형8길 12	"#브런치 #파스타 #타르트
#식빵 #빵집 #베이커리 #카페 #음식 #빵"
899	멘도롱 cafe	제주특별자치도 서귀포시 대정읍 하모항구로 70	"#카페 #커피 #케이크
#음료 #음식 #아메리카노 #프레즐 #카페라떼 #카푸치노"
900	면사무소	제주특별자치도 제주시 애월읍 애월해안로 494	"#애월 #신엄 #칼국수
#음식 #장칼국수 #부추전 #식당"
901	명도암수다뜰	제주특별자치도 제주시 명림로 164	"#콩국 #청대콩 #두부요리
#한식 #음식 #비지찌개 #두부전골 #순두부찌개 #두부두루치기"
902	명문사거리식당	제주특별자치도 서귀포시 표선면 중산간동로 5218	"#흑돼지 #몸국 #고기국수
#보말국 #두루치기 #음식"
903	명물	제주특별자치도 제주시 탑동로11길 2-1	"#생선요리 #쥐치 #객주리
#회 #구이 #음식 #갈치조림 #고등어조림 #갈치구이 #고등어구이 #옥돔구이 #전복뚝배기 #우럭매운탕"
904	명성식당	제주특별자치도 제주시 삼성로 94	"#돔베고기 #갈치구이 #생선조림
#한식 #된장찌개 #음식 #옥돔 #옥돔구이 #생선구이정식 #정식"
905	명태명가	제주특별자치도 제주시 연북로 514	"#연북로 #명태전문점 #조림
#음식 #식당"
906	명품전통육개장 본점	제주특별자치도 제주시 원노형로 37	"#육개장 #신제주 #한식
#음식 #식당"
907	모노클제주	제주특별자치도 서귀포시 남원읍 태위로360번길 30-8	"#카페 #커피 #음료
#베이커리 #음식 #디저트 #아메리카노 #바닐라라떼 #카페라떼 #카페모카 #아인슈페너"
908	모뉴에트	제주특별자치도 제주시 구좌읍 종달동길 23	"#종달리 #까눌레 #에이드
#음식 #카페 #아메리카노"
909	모닥치기	제주특별자치도 제주시 남광로2길 17	"#모닥치기 #분식 #구제주
#음식 #식당"
910	모리노코에	제주특별자치도 제주시 구남로2길 30	"#카페 #커피 #음료
#음식 #아메리카노 #카푸치노 #카페라떼 #자몽에이드 #에이드 #아이스티"
911	모메존	제주특별자치도 제주시 도두3길 17	"#깅이죽 #깅이칼국수 #음식
#칼국수 #문어 #전복죽 #성게국"
912	모앙	제주시 인다5길 12-4	"#카페 #디저트 #케익
#베이커리 #음식 #빵 #녹차파운드 #초코파운드 #아메리카노 #카페라떼"
913	모이세해장국 노형점	제주특별자치도 제주시 월랑로 61	"#해장국 #내장탕 #국밥
#음식 #식당"
914	모퉁이스낵	제주특별자치도 서귀포시 성산읍 일출로 270-2	"#맥주 #돈까스 #낙지볶음
#음식 #떡볶이 #즉석떡볶이 #김밥"
915	몬스터살롱	제주특별자치도 제주시 애월읍 일주서로 6017	"#봉자주스 #흑돼지버거 #한우버거
#음식 #츄러스 #햄버거 #치즈버거"
916	몬스테라 자구리	제주특별자치도 서귀포시 소암로12번길 7	"#베트남음식점 #분짜 #넴
#음식 #쌀국수 #소고기쌀국수 #새우볶음밥"
